#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1903.45    0.052790    0.018423    0.270730    0.019675  -0.0001241   0.0000000    0.248069    0.000000    0.013785    0.000000
   1903.50    0.081275    0.016137    0.254392    0.017307   0.0002625   0.0000000    0.244856    0.000000    0.014410    0.000000
   1903.55    0.148594    0.017927    0.236604    0.018798  -0.0001984   0.0000000    0.241534    0.000000    0.014467    0.000000
   1903.60    0.183183    0.015992    0.188983    0.018214  -0.0000895   0.0000000    0.239591    0.000000    0.014642    0.000000
   1903.65    0.219375    0.015083    0.104027    0.017659   0.0002354   0.0000000    0.237146    0.000000    0.014854    0.000000
   1903.70    0.213292    0.020304    0.081533    0.021653  -0.0001618   0.0000000    0.236906    0.000000    0.014642    0.000000
   1903.75    0.185028    0.018178   -0.008935    0.021919   0.0000184   0.0000000    0.238261    0.000000    0.014763    0.000000
   1903.80    0.148785    0.021925   -0.061863    0.017119   0.0002004   0.0000000    0.239356    0.000000    0.015993    0.000000
   1903.85    0.127491    0.024641   -0.108040    0.022892  -0.0001097   0.0000000    0.241287    0.000000    0.016540    0.000000
   1903.90    0.089323    0.027679   -0.098429    0.021118  -0.0001497   0.0000000    0.243467    0.000000    0.017307    0.000000
   1903.95    0.011756    0.029396   -0.093787    0.023481   0.0001186   0.0000000    0.243380    0.000000    0.018197    0.000000
   1904.00   -0.076509    0.029473   -0.075280    0.026064  -0.0001449   0.0000000    0.243821    0.000000    0.018652    0.000000
   1904.05   -0.134517    0.026090   -0.079092    0.023423  -0.0000605   0.0000000    0.244006    0.000000    0.018345    0.000000
   1904.10   -0.172260    0.024175   -0.026536    0.021363   0.0002808   0.0000000    0.243536    0.000000    0.018187    0.000000
   1904.15   -0.193114    0.031547    0.021542    0.032861  -0.0002424   0.0000000    0.243812    0.000000    0.016893    0.000000
   1904.20   -0.219850    0.022221    0.005829    0.028875   0.0000719   0.0000000    0.244539    0.000000    0.015876    0.000000
   1904.25   -0.202014    0.023388    0.077045    0.021587   0.0002179   0.0000000    0.244946    0.000000    0.014949    0.000000
   1904.30   -0.184649    0.032010    0.127916    0.024826  -0.0002491   0.0000000    0.245073    0.000000    0.014178    0.000000
   1904.35   -0.159053    0.019033    0.153481    0.021048   0.0000536   0.0000000    0.245155    0.000000    0.013770    0.000000
   1904.40   -0.120127    0.022943    0.233727    0.021688   0.0001526   0.0000000    0.244013    0.000000    0.014755    0.000000
   1904.45   -0.057886    0.016995    0.243987    0.017524  -0.0001170   0.0000000    0.241554    0.000000    0.014413    0.000000
   1904.50    0.000634    0.015364    0.249469    0.016865   0.0000010   0.0000000    0.238924    0.000000    0.014654    0.000000
   1904.55    0.064130    0.017529    0.250037    0.019406   0.0002496   0.0000000    0.235455    0.000000    0.015007    0.000000
   1904.60    0.100747    0.013993    0.206087    0.016492  -0.0001904   0.0000000    0.232227    0.000000    0.015023    0.000000
   1904.65    0.123794    0.014816    0.177201    0.014584  -0.0000236   0.0000000    0.231629    0.000000    0.015068    0.000000
   1904.70    0.156438    0.016340    0.139179    0.016713   0.0001626   0.0000000    0.230214    0.000000    0.015713    0.000000
   1904.75    0.167464    0.020982    0.118600    0.021584  -0.0003369   0.0000000    0.231146    0.000000    0.015418    0.000000
   1904.80    0.155250    0.019600    0.071086    0.018010   0.0001004   0.0000000    0.233364    0.000000    0.015992    0.000000
   1904.85    0.148961    0.021607    0.033438    0.018517   0.0001077   0.0000000    0.234806    0.000000    0.017457    0.000000
   1904.90    0.107736    0.028152    0.024412    0.025408  -0.0001198   0.0000000    0.236326    0.000000    0.018073    0.000000
   1904.95    0.118763    0.026884   -0.006857    0.026257   0.0000995   0.0000000    0.237450    0.000000    0.018605    0.000000
   1905.00    0.064337    0.022411   -0.053598    0.025719   0.0001401   0.0000000    0.237418    0.000000    0.019336    0.000000
   1905.05    0.009204    0.024031   -0.103042    0.026643  -0.0001694   0.0000000    0.237127    0.000000    0.019297    0.000000
   1905.10   -0.031115    0.026428   -0.117581    0.022500  -0.0000626   0.0000000    0.237499    0.000000    0.018419    0.000000
   1905.15   -0.080001    0.027293   -0.055191    0.023468   0.0002137   0.0000000    0.237449    0.000000    0.017756    0.000000
   1905.20   -0.170905    0.023003   -0.070801    0.022130  -0.0003518   0.0000000    0.238337    0.000000    0.016580    0.000000
   1905.25   -0.180569    0.018232   -0.062150    0.018206   0.0000963   0.0000000    0.239113    0.000000    0.015690    0.000000
   1905.30   -0.171549    0.023240   -0.023517    0.023537   0.0001706   0.0000000    0.238978    0.000000    0.015184    0.000000
   1905.35   -0.196066    0.019236    0.044346    0.019687  -0.0001905   0.0000000    0.238697    0.000000    0.014534    0.000000
   1905.40   -0.159958    0.019622    0.077328    0.020545   0.0001863   0.0000000    0.237570    0.000000    0.014650    0.000000
   1905.45   -0.152905    0.020041    0.123632    0.021426   0.0000271   0.0000000    0.235537    0.000000    0.015675    0.000000
   1905.50   -0.110403    0.018162    0.156591    0.021273  -0.0001250   0.0000000    0.232664    0.000000    0.015305    0.000000
   1905.55   -0.056577    0.017767    0.176938    0.018960   0.0000797   0.0000000    0.230244    0.000000    0.015220    0.000000
   1905.60   -0.004122    0.018406    0.204692    0.019333   0.0001420   0.0000000    0.227508    0.000000    0.015461    0.000000
   1905.65    0.038191    0.017991    0.194051    0.018136  -0.0001005   0.0000000    0.225441    0.000000    0.015593    0.000000
   1905.70    0.075173    0.017605    0.177125    0.018669   0.0001276   0.0000000    0.225980    0.000000    0.015683    0.000000
   1905.75    0.089668    0.022710    0.174419    0.017063   0.0001575   0.0000000    0.226112    0.000000    0.016374    0.000000
   1905.80    0.108795    0.025742    0.144239    0.025083  -0.0003129   0.0000000    0.227904    0.000000    0.016432    0.000000
   1905.85    0.149503    0.023278    0.120619    0.020271   0.0002173   0.0000000    0.229854    0.000000    0.017517    0.000000
   1905.90    0.142744    0.024965    0.083158    0.020219  -0.0000420   0.0000000    0.231289    0.000000    0.018771    0.000000
   1905.95    0.133366    0.024033    0.061663    0.025305  -0.0001602   0.0000000    0.232440    0.000000    0.019292    0.000000
   1906.00    0.098734    0.023878    0.013532    0.019687   0.0001918   0.0000000    0.232629    0.000000    0.019690    0.000000
   1906.05    0.029963    0.021653   -0.031365    0.020354   0.0000131   0.0000000    0.232447    0.000000    0.019879    0.000000
   1906.10   -0.022514    0.024586   -0.051191    0.015706  -0.0000930   0.0000000    0.232373    0.000000    0.019158    0.000000
   1906.15   -0.048553    0.018035   -0.033047    0.019092   0.0000888   0.0000000    0.233052    0.000000    0.017882    0.000000
   1906.20   -0.083764    0.021683   -0.021503    0.021073   0.0000094   0.0000000    0.233205    0.000000    0.017010    0.000000
